# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 289 total multi-nt-syn mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.2180	0.2353	0.9965	0.9446	0.9239	0.2076	0.2872
2	0.0865	0.0900	0.9965	0.9031	0.8962	0.0865	0.1003
3	0.0450	0.0415	0.9931	0.8789	0.8754	0.0588	0.0623
4	0.0173	0.0346	0.9896	0.8581	0.8478	0.0277	0.0415
5	0.0104	0.0173	0.9862	0.8443	0.8131	0.0242	0.0381
6	0.0069	0.0069	0.9827	0.8235	0.7785	0.0242	0.0277
7	0.0035	0.0069	0.9792	0.8062	0.7543	0.0242	0.0173
8	0.0035	0.0035	0.9792	0.7993	0.7474	0.0138	0.0173
9	0.0000	0.0035	0.9758	0.7855	0.7336	0.0138	0.0104
10	0.0000	0.0000	0.9758	0.7682	0.7266	0.0138	0.0069
11	0.0000	0.0000	0.9758	0.7543	0.7128	0.0104	0.0069
12	0.0000	0.0000	0.9723	0.7370	0.7093	0.0104	0.0069
13	0.0000	0.0000	0.9689	0.7232	0.6886	0.0104	0.0069
14	0.0000	0.0000	0.9689	0.7163	0.6782	0.0069	0.0069
15	0.0000	0.0000	0.9689	0.7093	0.6747	0.0069	0.0069
16	0.0000	0.0000	0.9654	0.6955	0.6644	0.0069	0.0035
17	0.0000	0.0000	0.9654	0.6851	0.6505	0.0035	0.0035
18	0.0000	0.0000	0.9654	0.6574	0.6367	0.0035	0.0035
19	0.0000	0.0000	0.9619	0.6436	0.6298	0.0035	0.0035
20	0.0000	0.0000	0.9585	0.6298	0.6228	0.0035	0.0035
21	0.0000	0.0000	0.9550	0.6159	0.6021	0.0035	0.0035
22	0.0000	0.0000	0.9516	0.6055	0.5848	0.0035	0.0035
23	0.0000	0.0000	0.9516	0.5986	0.5848	0.0035	0.0035
24	0.0000	0.0000	0.9516	0.5952	0.5813	0.0035	0.0035
25	0.0000	0.0000	0.9481	0.5917	0.5744	0.0035	0.0035
26	0.0000	0.0000	0.9481	0.5813	0.5675	0.0035	0.0035
27	0.0000	0.0000	0.9481	0.5779	0.5640	0.0035	0.0035
28	0.0000	0.0000	0.9481	0.5779	0.5606	0.0035	0.0035
29	0.0000	0.0000	0.9481	0.5779	0.5606	0.0035	0.0000
30	0.0000	0.0000	0.9481	0.5744	0.5467	0.0035	0.0000
31	0.0000	0.0000	0.9446	0.5640	0.5363	0.0000	0.0000
32	0.0000	0.0000	0.9343	0.5640	0.5329	0.0000	0.0000
33	0.0000	0.0000	0.9239	0.5502	0.5294	0.0000	0.0000
34	0.0000	0.0000	0.9239	0.5467	0.5225	0.0000	0.0000
35	0.0000	0.0000	0.9204	0.5363	0.5156	0.0000	0.0000
36	0.0000	0.0000	0.9170	0.5294	0.5121	0.0000	0.0000
37	0.0000	0.0000	0.9170	0.5260	0.5052	0.0000	0.0000
38	0.0000	0.0000	0.9170	0.5156	0.5052	0.0000	0.0000
39	0.0000	0.0000	0.9170	0.5156	0.4983	0.0000	0.0000
40	0.0000	0.0000	0.9170	0.5156	0.4948	0.0000	0.0000
41	0.0000	0.0000	0.9100	0.5156	0.4844	0.0000	0.0000
42	0.0000	0.0000	0.9066	0.5087	0.4810	0.0000	0.0000
43	0.0000	0.0000	0.9031	0.5017	0.4810	0.0000	0.0000
44	0.0000	0.0000	0.9031	0.4948	0.4775	0.0000	0.0000
45	0.0000	0.0000	0.8997	0.4948	0.4740	0.0000	0.0000
46	0.0000	0.0000	0.8962	0.4913	0.4706	0.0000	0.0000
47	0.0000	0.0000	0.8893	0.4913	0.4602	0.0000	0.0000
48	0.0000	0.0000	0.8824	0.4913	0.4498	0.0000	0.0000
49	0.0000	0.0000	0.8824	0.4913	0.4498	0.0000	0.0000
50	0.0000	0.0000	0.8789	0.4844	0.4464	0.0000	0.0000
