# nread -> total number of read pairs read from the FASTQ files.
nread 27030270
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 702964
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1341119
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 44349
# nattempted -> number of read pairs we attempted to align
nattempted 24986187
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 24006853
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 23991990
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 23849832
