# nread -> total number of read pairs read from the FASTQ files.
nread 24729962
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 1966780
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2723727
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 2415
# nattempted -> number of read pairs we attempted to align
nattempted 20039455
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 19314726
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 19281367
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 19170125
