# nread -> total number of read pairs read from the FASTQ files.
nread 23077828
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 1818126
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2450211
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 2262
# nattempted -> number of read pairs we attempted to align
nattempted 18809491
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 18080046
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 17507419
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 17400170
