# nread -> total number of read pairs read from the FASTQ files.
nread 24298318
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 2202809
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2687994
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 2280
# nattempted -> number of read pairs we attempted to align
nattempted 19407515
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 18713379
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 18328791
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 18222338
