# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31374 total all mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.3088	0.3332	0.9984	0.8972	0.8723	0.3365	0.4338
2	0.2069	0.2242	0.9976	0.8274	0.7813	0.2222	0.2672
3	0.1823	0.1963	0.9969	0.7700	0.7162	0.1934	0.2168
4	0.1709	0.1839	0.9961	0.7233	0.6641	0.1814	0.1963
5	0.1642	0.1749	0.9955	0.6830	0.6219	0.1731	0.1841
6	0.1590	0.1689	0.9948	0.6478	0.5862	0.1679	0.1761
7	0.1548	0.1643	0.9938	0.6175	0.5572	0.1641	0.1706
8	0.1503	0.1596	0.9933	0.5921	0.5322	0.1603	0.1666
9	0.1466	0.1556	0.9924	0.5695	0.5111	0.1581	0.1631
10	0.1438	0.1521	0.9916	0.5482	0.4929	0.1556	0.1602
11	0.1413	0.1494	0.9905	0.5281	0.4761	0.1535	0.1581
12	0.1392	0.1466	0.9892	0.5119	0.4610	0.1517	0.1561
13	0.1371	0.1445	0.9883	0.4961	0.4469	0.1498	0.1540
14	0.1354	0.1423	0.9872	0.4827	0.4342	0.1482	0.1524
15	0.1336	0.1401	0.9863	0.4688	0.4229	0.1467	0.1506
16	0.1322	0.1385	0.9852	0.4570	0.4127	0.1452	0.1491
17	0.1307	0.1371	0.9839	0.4464	0.4024	0.1436	0.1475
18	0.1296	0.1357	0.9827	0.4354	0.3935	0.1423	0.1462
19	0.1288	0.1345	0.9812	0.4259	0.3847	0.1415	0.1449
20	0.1279	0.1337	0.9797	0.4174	0.3768	0.1400	0.1435
21	0.1269	0.1328	0.9781	0.4097	0.3695	0.1387	0.1424
22	0.1262	0.1317	0.9769	0.4017	0.3627	0.1375	0.1412
23	0.1254	0.1310	0.9760	0.3950	0.3564	0.1363	0.1399
24	0.1248	0.1302	0.9750	0.3874	0.3502	0.1355	0.1390
25	0.1239	0.1295	0.9740	0.3806	0.3440	0.1343	0.1382
26	0.1234	0.1288	0.9731	0.3750	0.3380	0.1335	0.1372
27	0.1231	0.1279	0.9721	0.3688	0.3326	0.1325	0.1364
28	0.1227	0.1271	0.9709	0.3623	0.3277	0.1316	0.1352
29	0.1222	0.1267	0.9700	0.3571	0.3230	0.1306	0.1342
30	0.1218	0.1262	0.9691	0.3516	0.3185	0.1297	0.1334
31	0.1214	0.1256	0.9675	0.3463	0.3142	0.1288	0.1323
32	0.1208	0.1249	0.9662	0.3416	0.3100	0.1282	0.1311
33	0.1204	0.1242	0.9649	0.3368	0.3065	0.1274	0.1302
34	0.1199	0.1233	0.9637	0.3326	0.3028	0.1264	0.1293
35	0.1195	0.1228	0.9621	0.3287	0.2991	0.1255	0.1287
36	0.1192	0.1222	0.9607	0.3248	0.2956	0.1247	0.1280
37	0.1190	0.1218	0.9590	0.3206	0.2926	0.1239	0.1273
38	0.1185	0.1211	0.9577	0.3166	0.2898	0.1233	0.1266
39	0.1179	0.1205	0.9561	0.3129	0.2866	0.1226	0.1259
40	0.1172	0.1199	0.9543	0.3091	0.2832	0.1217	0.1249
41	0.1169	0.1193	0.9525	0.3058	0.2796	0.1210	0.1241
42	0.1166	0.1187	0.9506	0.3022	0.2767	0.1202	0.1233
43	0.1159	0.1179	0.9488	0.2991	0.2739	0.1195	0.1225
44	0.1153	0.1173	0.9470	0.2955	0.2714	0.1188	0.1219
45	0.1151	0.1166	0.9444	0.2927	0.2680	0.1176	0.1211
46	0.1146	0.1161	0.9425	0.2899	0.2655	0.1170	0.1201
47	0.1143	0.1154	0.9403	0.2871	0.2628	0.1163	0.1194
48	0.1138	0.1148	0.9383	0.2837	0.2600	0.1156	0.1185
49	0.1131	0.1140	0.9365	0.2814	0.2578	0.1150	0.1177
50	0.1127	0.1132	0.9344	0.2784	0.2552	0.1143	0.1168
