# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26892 total multi-nt-all mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.1936	0.2220	0.9981	0.8801	0.8510	0.2259	0.3395
2	0.0750	0.0950	0.9972	0.7986	0.7448	0.0926	0.1451
3	0.0468	0.0627	0.9964	0.7317	0.6689	0.0590	0.0862
4	0.0340	0.0489	0.9955	0.6772	0.6082	0.0451	0.0624
5	0.0272	0.0396	0.9948	0.6302	0.5591	0.0357	0.0483
6	0.0223	0.0333	0.9939	0.5891	0.5173	0.0297	0.0391
7	0.0193	0.0294	0.9927	0.5540	0.4836	0.0255	0.0329
8	0.0161	0.0259	0.9922	0.5244	0.4544	0.0217	0.0287
9	0.0141	0.0231	0.9911	0.4980	0.4299	0.0195	0.0248
10	0.0124	0.0206	0.9901	0.4734	0.4087	0.0173	0.0219
11	0.0110	0.0190	0.9890	0.4503	0.3894	0.0155	0.0201
12	0.0102	0.0175	0.9874	0.4317	0.3721	0.0142	0.0184
13	0.0093	0.0165	0.9864	0.4134	0.3560	0.0131	0.0168
14	0.0086	0.0151	0.9851	0.3980	0.3415	0.0123	0.0156
15	0.0076	0.0139	0.9841	0.3820	0.3286	0.0115	0.0145
16	0.0070	0.0130	0.9829	0.3686	0.3170	0.0107	0.0134
17	0.0065	0.0124	0.9814	0.3566	0.3051	0.0099	0.0125
18	0.0059	0.0116	0.9801	0.3442	0.2950	0.0093	0.0117
19	0.0055	0.0109	0.9784	0.3334	0.2854	0.0090	0.0112
20	0.0052	0.0106	0.9767	0.3241	0.2769	0.0083	0.0104
21	0.0049	0.0100	0.9750	0.3156	0.2686	0.0079	0.0100
22	0.0046	0.0097	0.9735	0.3066	0.2610	0.0073	0.0095
23	0.0044	0.0094	0.9726	0.2993	0.2540	0.0068	0.0091
24	0.0041	0.0091	0.9714	0.2908	0.2471	0.0066	0.0089
25	0.0036	0.0088	0.9703	0.2832	0.2403	0.0061	0.0087
26	0.0034	0.0086	0.9692	0.2770	0.2336	0.0058	0.0081
27	0.0033	0.0080	0.9680	0.2701	0.2279	0.0055	0.0077
28	0.0033	0.0077	0.9666	0.2629	0.2228	0.0051	0.0074
29	0.0030	0.0075	0.9656	0.2572	0.2176	0.0048	0.0069
30	0.0030	0.0073	0.9645	0.2511	0.2128	0.0047	0.0067
31	0.0028	0.0072	0.9627	0.2455	0.2083	0.0046	0.0065
32	0.0026	0.0068	0.9613	0.2403	0.2040	0.0045	0.0061
33	0.0025	0.0066	0.9597	0.2352	0.2004	0.0043	0.0059
34	0.0025	0.0064	0.9584	0.2307	0.1966	0.0041	0.0056
35	0.0023	0.0062	0.9565	0.2265	0.1928	0.0039	0.0054
36	0.0023	0.0061	0.9550	0.2222	0.1891	0.0038	0.0052
37	0.0022	0.0058	0.9531	0.2178	0.1859	0.0036	0.0051
38	0.0020	0.0056	0.9515	0.2137	0.1831	0.0035	0.0049
39	0.0018	0.0054	0.9497	0.2099	0.1799	0.0033	0.0047
40	0.0017	0.0053	0.9476	0.2057	0.1767	0.0033	0.0045
41	0.0016	0.0052	0.9456	0.2023	0.1730	0.0032	0.0043
42	0.0016	0.0051	0.9433	0.1988	0.1699	0.0031	0.0041
43	0.0015	0.0050	0.9412	0.1956	0.1669	0.0030	0.0038
44	0.0015	0.0049	0.9392	0.1922	0.1645	0.0029	0.0037
45	0.0015	0.0048	0.9362	0.1893	0.1614	0.0028	0.0036
46	0.0015	0.0045	0.9339	0.1864	0.1589	0.0027	0.0035
47	0.0013	0.0044	0.9315	0.1836	0.1561	0.0027	0.0034
48	0.0013	0.0044	0.9292	0.1804	0.1535	0.0025	0.0033
49	0.0013	0.0042	0.9271	0.1780	0.1513	0.0024	0.0031
50	0.0012	0.0042	0.9246	0.1750	0.1488	0.0024	0.0030
