# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1261 total syn mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.8208	0.8247	0.9992	0.9873	0.9826	0.8184	0.8366
2	0.7906	0.7914	0.9992	0.9778	0.9762	0.7906	0.7938
3	0.7795	0.7803	0.9984	0.9722	0.9715	0.7843	0.7851
4	0.7732	0.7787	0.9976	0.9675	0.9651	0.7772	0.7803
5	0.7708	0.7700	0.9968	0.9643	0.9572	0.7764	0.7795
6	0.7653	0.7661	0.9960	0.9596	0.9492	0.7764	0.7772
7	0.7629	0.7637	0.9952	0.9556	0.9437	0.7756	0.7748
8	0.7581	0.7573	0.9952	0.9540	0.9421	0.7716	0.7732
9	0.7494	0.7534	0.9944	0.9508	0.9389	0.7708	0.7708
10	0.7454	0.7478	0.9944	0.9461	0.9374	0.7653	0.7692
11	0.7431	0.7415	0.9944	0.9429	0.9342	0.7645	0.7684
12	0.7359	0.7328	0.9937	0.9389	0.9326	0.7637	0.7637
13	0.7288	0.7280	0.9929	0.9358	0.9270	0.7597	0.7597
14	0.7216	0.7216	0.9929	0.9342	0.9247	0.7526	0.7581
15	0.7145	0.7177	0.9929	0.9326	0.9239	0.7510	0.7550
16	0.7105	0.7113	0.9921	0.9294	0.9215	0.7454	0.7510
17	0.7058	0.7058	0.9921	0.9270	0.9183	0.7399	0.7470
18	0.7026	0.6994	0.9921	0.9207	0.9151	0.7367	0.7462
19	0.6971	0.6939	0.9913	0.9167	0.9136	0.7351	0.7439
20	0.6915	0.6907	0.9905	0.9128	0.9112	0.7304	0.7399
21	0.6844	0.6875	0.9897	0.9088	0.9064	0.7240	0.7328
22	0.6796	0.6852	0.9889	0.9056	0.9025	0.7232	0.7280
23	0.6749	0.6796	0.9889	0.9040	0.9009	0.7185	0.7240
24	0.6709	0.6780	0.9889	0.9017	0.9001	0.7169	0.7201
25	0.6677	0.6757	0.9881	0.9009	0.8969	0.7129	0.7193
26	0.6669	0.6717	0.9881	0.8969	0.8945	0.7098	0.7177
27	0.6653	0.6661	0.9881	0.8953	0.8937	0.7090	0.7153
28	0.6630	0.6622	0.9881	0.8953	0.8921	0.7066	0.7098
29	0.6630	0.6622	0.9881	0.8945	0.8914	0.7042	0.7058
30	0.6606	0.6606	0.9881	0.8929	0.8882	0.6979	0.7042
31	0.6590	0.6582	0.9873	0.8906	0.8858	0.6931	0.6994
32	0.6542	0.6566	0.9849	0.8890	0.8834	0.6883	0.6931
33	0.6534	0.6534	0.9826	0.8842	0.8810	0.6844	0.6883
34	0.6495	0.6527	0.9826	0.8818	0.8787	0.6804	0.6860
35	0.6479	0.6511	0.9818	0.8787	0.8771	0.6757	0.6860
36	0.6471	0.6479	0.9810	0.8771	0.8763	0.6733	0.6844
37	0.6455	0.6471	0.9810	0.8755	0.8747	0.6709	0.6828
38	0.6431	0.6463	0.9810	0.8715	0.8739	0.6677	0.6812
39	0.6431	0.6447	0.9810	0.8699	0.8723	0.6638	0.6788
40	0.6408	0.6431	0.9810	0.8699	0.8707	0.6590	0.6709
41	0.6392	0.6408	0.9794	0.8692	0.8660	0.6558	0.6677
42	0.6376	0.6384	0.9778	0.8668	0.8644	0.6542	0.6653
43	0.6344	0.6352	0.9762	0.8652	0.8636	0.6534	0.6630
44	0.6328	0.6320	0.9762	0.8636	0.8620	0.6511	0.6614
45	0.6328	0.6297	0.9754	0.8628	0.8596	0.6463	0.6590
46	0.6305	0.6265	0.9746	0.8620	0.8573	0.6447	0.6558
47	0.6297	0.6257	0.9730	0.8612	0.8541	0.6431	0.6519
48	0.6289	0.6241	0.9707	0.8604	0.8509	0.6408	0.6495
49	0.6273	0.6233	0.9707	0.8596	0.8509	0.6392	0.6479
50	0.6249	0.6193	0.9699	0.8573	0.8493	0.6368	0.6463
