#SAMPLE	FRAC_1 nucleotide mutation	FRAC_2 nucleotide mutations	FRAC_3 nucleotide mutations
WT-1 DNA	0.00063652	9.0451E-06	4.332E-06
WT-2 DNA	0.00062995	1.053E-05	5.1535E-06
N334H-1 DNA	0.00064393	1.2741E-05	6.7201E-06
N334H-2 DNA	0.00057196	9.4467E-06	5.0346E-06
WT-1 RNA	0.00084489	2.6957E-05	7.6325E-06
WT-2 RNA	0.0008377	2.6092E-05	8.1251E-06
N334H-1 RNA	0.00087015	2.8299E-05	8.8976E-06
N334H-2 RNA	0.00076736	2.5889E-05	7.9476E-06
WT-1 mutDNA	0.0019905	0.0027137	0.0025663
WT-2 mutDNA	0.0020115	0.0027636	0.0026113
N334H-1 mutDNA	0.0018722	0.0024051	0.0022883
N334H-2 mutDNA	0.0018046	0.0023704	0.0022421
WT-1 virus-p1	0.00082532	1.6807E-05	7.5653E-06
WT-2 virus-p1	0.00081853	1.7616E-05	8.0809E-06
N334H-1 virus-p1	0.00081857	1.6835E-05	7.6977E-06
N334H-2 virus-p1	0.00076279	1.5354E-05	7.4994E-06
WT-1 mutvirus-p1	0.0015819	0.00070771	0.0010243
WT-2 mutvirus-p1	0.0014539	0.00087631	0.00073202
N334H-1 mutvirus-p1	0.0013739	0.00081602	0.0007368
N334H-2 mutvirus-p1	0.0014428	0.00092855	0.00070551
WT-1 virus-p2	0.00088516	3.0729E-05	1.5226E-05
WT-2 virus-p2	0.0008958	2.5805E-05	1.2795E-05
N334H-1 virus-p2	0.00089055	1.9732E-05	9.151E-06
N334H-2 virus-p2	0.0008355	2.1545E-05	1.168E-05
WT-1 mutvirus-p2	0.0016607	0.0007234	0.0011011
WT-2 mutvirus-p2	0.0015061	0.00084557	0.00071673
N334H-1 mutvirus-p2	0.0014477	0.0008246	0.00072303
N334H-2 mutvirus-p2	0.0015248	0.00093941	0.0006914
Sanger	0.001	0.00227	0.00207
