#SAMPLE	FRAC_synonymous	FRAC_nonsynonymous	FRAC_stop codon
WT-1 DNA	0.00015995	0.00045786	3.2093E-05
WT-2 DNA	0.0001623	0.0004532	3.013E-05
N334H-1 DNA	0.00016513	0.00046742	3.0849E-05
N334H-2 DNA	0.00015406	0.00040855	2.3828E-05
WT-1 RNA	0.0002234	0.00062226	3.3827E-05
WT-2 RNA	0.0002182	0.00061759	3.6123E-05
N334H-1 RNA	0.00023394	0.00063916	3.4248E-05
N334H-2 RNA	0.00020972	0.00056373	2.7739E-05
WT-1 mutDNA	0.00054701	0.0064044	0.0003191
WT-2 mutDNA	0.00055878	0.0065161	0.00031143
N334H-1 mutDNA	0.00051936	0.0057676	0.00027864
N334H-2 mutDNA	0.00051072	0.00564	0.00026637
WT-1 virus-p1	0.00021497	0.00059735	3.7375E-05
WT-2 virus-p1	0.00021708	0.00059306	3.4084E-05
N334H-1 virus-p1	0.00021838	0.00059108	3.3651E-05
N334H-2 virus-p1	0.0002041	0.00055266	2.8888E-05
WT-1 mutvirus-p1	0.00060456	0.0025522	0.00015713
WT-2 mutvirus-p1	0.0005351	0.0024429	8.4192E-05
N334H-1 mutvirus-p1	0.00047229	0.0023952	5.9231E-05
N334H-2 mutvirus-p1	0.00052001	0.0025024	5.4449E-05
WT-1 virus-p2	0.00023327	0.00065844	3.9399E-05
WT-2 virus-p2	0.00023832	0.00065839	3.769E-05
N334H-1 virus-p2	0.00023432	0.00064857	3.654E-05
N334H-2 virus-p2	0.00022365	0.00061306	3.2008E-05
WT-1 mutvirus-p2	0.00063748	0.0026442	0.00020344
WT-2 mutvirus-p2	0.00054003	0.0024398	8.8589E-05
N334H-1 mutvirus-p2	0.00049446	0.0024431	5.7822E-05
N334H-2 mutvirus-p2	0.00055006	0.0025516	5.3901E-05
Sanger	0.0004	0.00468	0.00027
