# nread -> total number of read pairs read from the FASTQ files.
nread 16677426
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 158065
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 398157
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 16642
# nattempted -> number of read pairs we attempted to align
nattempted 16121204
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 15401163
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 15378992
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 15291112
