# nread -> total number of read pairs read from the FASTQ files.
nread 18389778
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 172403
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 415809
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 18519
# nattempted -> number of read pairs we attempted to align
nattempted 17801566
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 16984989
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 16939559
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 16837012
