# nread -> total number of read pairs read from the FASTQ files.
nread 14792692
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 142084
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 353658
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 14767
# nattempted -> number of read pairs we attempted to align
nattempted 14296950
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 13645786
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 13628999
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 13553485
