# nread -> total number of read pairs read from the FASTQ files.
nread 16723368
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 193800
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 780499
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 27642
# nattempted -> number of read pairs we attempted to align
nattempted 15749069
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 14794730
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 14571523
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 14442666
