# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26892 total multi-nt-all mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.1275	0.1626	0.9975	0.8494	0.7717	0.2362	0.2857
2	0.0434	0.0676	0.9964	0.7509	0.6463	0.1056	0.1246
3	0.0263	0.0441	0.9955	0.6742	0.5582	0.0698	0.0779
4	0.0181	0.0332	0.9943	0.6113	0.4948	0.0517	0.0587
5	0.0135	0.0270	0.9930	0.5588	0.4445	0.0412	0.0474
6	0.0112	0.0222	0.9918	0.5159	0.4040	0.0336	0.0391
7	0.0091	0.0197	0.9906	0.4786	0.3690	0.0292	0.0341
8	0.0078	0.0169	0.9895	0.4456	0.3418	0.0255	0.0297
9	0.0068	0.0152	0.9882	0.4185	0.3194	0.0219	0.0264
10	0.0061	0.0139	0.9863	0.3927	0.2977	0.0194	0.0239
11	0.0054	0.0129	0.9842	0.3708	0.2814	0.0176	0.0221
12	0.0049	0.0119	0.9825	0.3485	0.2664	0.0162	0.0205
13	0.0043	0.0110	0.9809	0.3309	0.2529	0.0153	0.0187
14	0.0037	0.0102	0.9790	0.3156	0.2401	0.0143	0.0173
15	0.0034	0.0095	0.9771	0.3012	0.2300	0.0133	0.0165
16	0.0031	0.0087	0.9750	0.2870	0.2189	0.0126	0.0159
17	0.0028	0.0082	0.9736	0.2740	0.2102	0.0117	0.0150
18	0.0027	0.0077	0.9723	0.2634	0.2021	0.0110	0.0144
19	0.0025	0.0073	0.9705	0.2531	0.1954	0.0104	0.0138
20	0.0024	0.0071	0.9692	0.2437	0.1886	0.0099	0.0133
21	0.0023	0.0066	0.9675	0.2354	0.1832	0.0095	0.0129
22	0.0022	0.0062	0.9659	0.2261	0.1776	0.0091	0.0126
23	0.0020	0.0061	0.9639	0.2184	0.1723	0.0087	0.0120
24	0.0019	0.0058	0.9620	0.2122	0.1670	0.0084	0.0116
25	0.0019	0.0055	0.9601	0.2052	0.1617	0.0080	0.0112
26	0.0018	0.0053	0.9578	0.1982	0.1578	0.0078	0.0106
27	0.0017	0.0051	0.9559	0.1929	0.1540	0.0076	0.0103
28	0.0016	0.0048	0.9539	0.1868	0.1502	0.0073	0.0101
29	0.0015	0.0048	0.9515	0.1816	0.1468	0.0071	0.0099
30	0.0014	0.0046	0.9489	0.1759	0.1437	0.0070	0.0095
31	0.0012	0.0044	0.9462	0.1713	0.1405	0.0067	0.0092
32	0.0010	0.0043	0.9434	0.1672	0.1378	0.0063	0.0090
33	0.0010	0.0041	0.9404	0.1633	0.1346	0.0062	0.0090
34	0.0009	0.0039	0.9378	0.1595	0.1320	0.0061	0.0089
35	0.0009	0.0038	0.9350	0.1554	0.1300	0.0060	0.0086
36	0.0009	0.0035	0.9314	0.1522	0.1276	0.0057	0.0084
37	0.0008	0.0035	0.9281	0.1491	0.1256	0.0055	0.0081
38	0.0008	0.0034	0.9240	0.1461	0.1232	0.0054	0.0079
39	0.0008	0.0033	0.9209	0.1435	0.1209	0.0052	0.0077
40	0.0008	0.0032	0.9176	0.1407	0.1187	0.0051	0.0075
41	0.0007	0.0031	0.9141	0.1381	0.1169	0.0050	0.0073
42	0.0007	0.0030	0.9099	0.1352	0.1149	0.0050	0.0070
43	0.0007	0.0029	0.9063	0.1331	0.1132	0.0048	0.0068
44	0.0007	0.0028	0.9021	0.1309	0.1117	0.0046	0.0066
45	0.0007	0.0028	0.8986	0.1278	0.1103	0.0046	0.0065
46	0.0007	0.0028	0.8942	0.1255	0.1090	0.0044	0.0065
47	0.0006	0.0026	0.8897	0.1236	0.1074	0.0042	0.0064
48	0.0006	0.0026	0.8860	0.1214	0.1059	0.0041	0.0064
49	0.0006	0.0025	0.8819	0.1190	0.1043	0.0041	0.0062
50	0.0006	0.0025	0.8780	0.1168	0.1027	0.0039	0.0062
