# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 289 total multi-nt-syn mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.1107	0.1280	0.9965	0.9170	0.8858	0.1522	0.1903
2	0.0242	0.0311	0.9931	0.8824	0.8374	0.0692	0.0692
3	0.0069	0.0208	0.9896	0.8304	0.7993	0.0415	0.0450
4	0.0069	0.0069	0.9862	0.7924	0.7785	0.0381	0.0242
5	0.0000	0.0035	0.9862	0.7578	0.7336	0.0346	0.0208
6	0.0000	0.0035	0.9827	0.7266	0.7024	0.0208	0.0138
7	0.0000	0.0035	0.9758	0.7024	0.6540	0.0173	0.0104
8	0.0000	0.0000	0.9758	0.6817	0.6228	0.0173	0.0104
9	0.0000	0.0000	0.9723	0.6678	0.6055	0.0104	0.0069
10	0.0000	0.0000	0.9723	0.6471	0.6021	0.0069	0.0035
11	0.0000	0.0000	0.9689	0.6298	0.5917	0.0069	0.0035
12	0.0000	0.0000	0.9654	0.5986	0.5744	0.0069	0.0000
13	0.0000	0.0000	0.9654	0.5848	0.5467	0.0069	0.0000
14	0.0000	0.0000	0.9585	0.5744	0.5398	0.0035	0.0000
15	0.0000	0.0000	0.9516	0.5606	0.5329	0.0035	0.0000
16	0.0000	0.0000	0.9481	0.5433	0.5225	0.0035	0.0000
17	0.0000	0.0000	0.9446	0.5363	0.5087	0.0000	0.0000
18	0.0000	0.0000	0.9446	0.5225	0.4983	0.0000	0.0000
19	0.0000	0.0000	0.9412	0.5087	0.4983	0.0000	0.0000
20	0.0000	0.0000	0.9412	0.4983	0.4879	0.0000	0.0000
21	0.0000	0.0000	0.9412	0.4879	0.4775	0.0000	0.0000
22	0.0000	0.0000	0.9377	0.4775	0.4706	0.0000	0.0000
23	0.0000	0.0000	0.9343	0.4671	0.4602	0.0000	0.0000
24	0.0000	0.0000	0.9308	0.4602	0.4464	0.0000	0.0000
25	0.0000	0.0000	0.9308	0.4464	0.4325	0.0000	0.0000
26	0.0000	0.0000	0.9204	0.4429	0.4291	0.0000	0.0000
27	0.0000	0.0000	0.9204	0.4429	0.4187	0.0000	0.0000
28	0.0000	0.0000	0.9204	0.4291	0.4152	0.0000	0.0000
29	0.0000	0.0000	0.9170	0.4187	0.4083	0.0000	0.0000
30	0.0000	0.0000	0.9170	0.4118	0.3979	0.0000	0.0000
31	0.0000	0.0000	0.9100	0.4083	0.3945	0.0000	0.0000
32	0.0000	0.0000	0.9066	0.4014	0.3910	0.0000	0.0000
33	0.0000	0.0000	0.9066	0.3910	0.3806	0.0000	0.0000
34	0.0000	0.0000	0.8962	0.3806	0.3702	0.0000	0.0000
35	0.0000	0.0000	0.8927	0.3772	0.3668	0.0000	0.0000
36	0.0000	0.0000	0.8858	0.3737	0.3668	0.0000	0.0000
37	0.0000	0.0000	0.8858	0.3702	0.3633	0.0000	0.0000
38	0.0000	0.0000	0.8754	0.3564	0.3599	0.0000	0.0000
39	0.0000	0.0000	0.8754	0.3529	0.3564	0.0000	0.0000
40	0.0000	0.0000	0.8754	0.3495	0.3529	0.0000	0.0000
41	0.0000	0.0000	0.8651	0.3356	0.3426	0.0000	0.0000
42	0.0000	0.0000	0.8651	0.3322	0.3322	0.0000	0.0000
43	0.0000	0.0000	0.8581	0.3253	0.3218	0.0000	0.0000
44	0.0000	0.0000	0.8581	0.3183	0.3218	0.0000	0.0000
45	0.0000	0.0000	0.8581	0.3149	0.3183	0.0000	0.0000
46	0.0000	0.0000	0.8512	0.3149	0.3183	0.0000	0.0000
47	0.0000	0.0000	0.8478	0.3114	0.2976	0.0000	0.0000
48	0.0000	0.0000	0.8408	0.3010	0.2976	0.0000	0.0000
49	0.0000	0.0000	0.8339	0.3010	0.2941	0.0000	0.0000
50	0.0000	0.0000	0.8270	0.2907	0.2803	0.0000	0.0000
