# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1261 total syn mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.7946	0.7994	0.9992	0.9810	0.9738	0.8057	0.8144
2	0.7740	0.7764	0.9984	0.9730	0.9627	0.7867	0.7859
3	0.7669	0.7724	0.9976	0.9611	0.9540	0.7803	0.7803
4	0.7637	0.7661	0.9968	0.9524	0.9492	0.7780	0.7756
5	0.7542	0.7573	0.9968	0.9445	0.9389	0.7772	0.7748
6	0.7502	0.7502	0.9960	0.9374	0.9310	0.7732	0.7716
7	0.7367	0.7415	0.9944	0.9310	0.9199	0.7724	0.7676
8	0.7248	0.7288	0.9944	0.9262	0.9128	0.7716	0.7669
9	0.7121	0.7216	0.9937	0.9223	0.9088	0.7684	0.7621
10	0.7002	0.7161	0.9937	0.9175	0.9072	0.7645	0.7581
11	0.6939	0.7074	0.9929	0.9112	0.9040	0.7637	0.7573
12	0.6883	0.7010	0.9921	0.9033	0.9001	0.7597	0.7526
13	0.6868	0.6963	0.9921	0.8977	0.8929	0.7573	0.7510
14	0.6796	0.6891	0.9905	0.8953	0.8898	0.7510	0.7454
15	0.6709	0.6812	0.9889	0.8914	0.8882	0.7431	0.7399
16	0.6653	0.6749	0.9881	0.8866	0.8858	0.7415	0.7351
17	0.6614	0.6709	0.9873	0.8850	0.8803	0.7367	0.7312
18	0.6574	0.6614	0.9873	0.8818	0.8771	0.7335	0.7248
19	0.6542	0.6582	0.9865	0.8771	0.8763	0.7248	0.7209
20	0.6519	0.6566	0.9865	0.8723	0.8739	0.7232	0.7177
21	0.6503	0.6519	0.9865	0.8692	0.8699	0.7177	0.7145
22	0.6455	0.6463	0.9857	0.8660	0.8676	0.7090	0.7113
23	0.6416	0.6455	0.9849	0.8620	0.8636	0.7050	0.7082
24	0.6360	0.6423	0.9841	0.8588	0.8580	0.6994	0.7042
25	0.6328	0.6336	0.9841	0.8533	0.8541	0.6963	0.6971
26	0.6257	0.6281	0.9818	0.8525	0.8517	0.6947	0.6939
27	0.6193	0.6209	0.9818	0.8517	0.8462	0.6931	0.6875
28	0.6154	0.6178	0.9818	0.8477	0.8446	0.6875	0.6828
29	0.6106	0.6138	0.9810	0.8430	0.8422	0.6836	0.6780
30	0.6059	0.6114	0.9810	0.8390	0.8398	0.6812	0.6701
31	0.6043	0.6027	0.9794	0.8382	0.8351	0.6788	0.6653
32	0.6011	0.5995	0.9786	0.8351	0.8319	0.6725	0.6622
33	0.5956	0.5956	0.9778	0.8279	0.8271	0.6661	0.6566
34	0.5924	0.5916	0.9746	0.8239	0.8239	0.6630	0.6495
35	0.5892	0.5892	0.9738	0.8208	0.8216	0.6574	0.6439
36	0.5852	0.5868	0.9722	0.8192	0.8200	0.6542	0.6392
37	0.5821	0.5860	0.9722	0.8160	0.8168	0.6495	0.6368
38	0.5797	0.5813	0.9699	0.8105	0.8136	0.6447	0.6336
39	0.5773	0.5781	0.9699	0.8081	0.8128	0.6408	0.6320
40	0.5749	0.5718	0.9699	0.8065	0.8089	0.6376	0.6273
41	0.5718	0.5662	0.9675	0.8017	0.8057	0.6360	0.6257
42	0.5702	0.5630	0.9675	0.8002	0.7994	0.6320	0.6241
43	0.5670	0.5575	0.9651	0.7970	0.7954	0.6305	0.6186
44	0.5630	0.5527	0.9651	0.7930	0.7954	0.6273	0.6154
45	0.5607	0.5504	0.9643	0.7898	0.7906	0.6233	0.6138
46	0.5575	0.5496	0.9619	0.7891	0.7891	0.6186	0.6130
47	0.5527	0.5472	0.9603	0.7851	0.7835	0.6154	0.6098
48	0.5511	0.5448	0.9588	0.7811	0.7819	0.6130	0.6075
49	0.5472	0.5424	0.9572	0.7803	0.7803	0.6075	0.6051
50	0.5440	0.5416	0.9548	0.7772	0.7764	0.6043	0.6027
