#SAMPLE	FRAC_1 nucleotide mutation	FRAC_2 nucleotide mutations	FRAC_3 nucleotide mutations
WT-1 DNA	0.00057961	8.6651E-06	4.0127E-06
WT-2 DNA	0.00056619	8.6045E-06	4.463E-06
N334H-1 DNA	0.00054028	9.2848E-06	4.5783E-06
N334H-2 DNA	0.0005695	9.6034E-06	4.3662E-06
WT-1 RNA	0.00077238	2.3756E-05	6.8371E-06
WT-2 RNA	0.00076281	2.2648E-05	6.9329E-06
N334H-1 RNA	0.00078926	2.7824E-05	7.6278E-06
N334H-2 RNA	0.00075654	2.5799E-05	7.7658E-06
WT-1 mutDNA	0.001854	0.0024825	0.0023462
WT-2 mutDNA	0.0019346	0.0027159	0.0025741
N334H-1 mutDNA	0.0017192	0.0022627	0.0021363
N334H-2 mutDNA	0.0017317	0.0022248	0.0021043
WT-1 virus-p1	0.0007776	2.1403E-05	1.5332E-05
WT-2 virus-p1	0.00085137	7.4501E-05	3.6158E-05
N334H-1 virus-p1	0.00074388	2.3286E-05	1.3445E-05
N334H-2 virus-p1	0.00072659	1.7889E-05	9.5787E-06
WT-1 mutvirus-p1	0.001642	0.0011606	0.0010189
WT-2 mutvirus-p1	0.0014836	0.0012428	0.0013225
N334H-1 mutvirus-p1	0.0014875	0.0016825	0.00070706
N334H-2 mutvirus-p1	0.001442	0.0011201	0.00078915
WT-1 virus-p2	0.00089406	6.6604E-05	4.3839E-05
WT-2 virus-p2	0.0011366	0.00019456	0.00010274
N334H-1 virus-p2	0.00075227	2.3366E-05	1.8974E-05
N334H-2 virus-p2	0.00076696	2.1368E-05	1.1907E-05
WT-1 mutvirus-p2	0.0017354	0.0013764	0.0011076
WT-2 mutvirus-p2	0.0015588	0.0012614	0.0013632
N334H-1 mutvirus-p2	0.0015206	0.0016281	0.00068774
N334H-2 mutvirus-p2	0.001491	0.0010875	0.00071105
Sanger	0.001	0.00227	0.00207
