# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 35532 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.2799	0.9999	0.8432	0.3408
2	0.1977	0.9996	0.7511	0.2307
3	0.1763	0.9993	0.6850	0.2002
4	0.1658	0.9990	0.6363	0.1848
5	0.1587	0.9982	0.5973	0.1754
6	0.1529	0.9974	0.5649	0.1695
7	0.1481	0.9967	0.5396	0.1650
8	0.1446	0.9961	0.5181	0.1616
9	0.1413	0.9950	0.4986	0.1584
10	0.1385	0.9936	0.4810	0.1561
11	0.1359	0.9920	0.4648	0.1536
12	0.1334	0.9903	0.4515	0.1517
13	0.1315	0.9885	0.4391	0.1495
14	0.1301	0.9867	0.4281	0.1476
15	0.1285	0.9847	0.4179	0.1454
16	0.1271	0.9828	0.4093	0.1437
17	0.1261	0.9809	0.3999	0.1417
18	0.1251	0.9789	0.3917	0.1395
19	0.1241	0.9767	0.3846	0.1379
20	0.1228	0.9745	0.3773	0.1364
21	0.1219	0.9723	0.3702	0.1351
22	0.1211	0.9695	0.3634	0.1336
23	0.1198	0.9667	0.3568	0.1325
24	0.1188	0.9640	0.3502	0.1312
25	0.1183	0.9609	0.3448	0.1302
26	0.1176	0.9578	0.3395	0.1293
27	0.1167	0.9549	0.3341	0.1283
28	0.1158	0.9515	0.3294	0.1272
29	0.1152	0.9484	0.3247	0.1261
30	0.1148	0.9450	0.3204	0.1252
31	0.1142	0.9414	0.3161	0.1242
32	0.1134	0.9379	0.3120	0.1230
33	0.1125	0.9341	0.3077	0.1220
34	0.1117	0.9302	0.3033	0.1209
35	0.1109	0.9261	0.2999	0.1201
36	0.1102	0.9220	0.2963	0.1192
37	0.1094	0.9180	0.2926	0.1184
38	0.1086	0.9131	0.2892	0.1176
39	0.1081	0.9088	0.2857	0.1168
40	0.1073	0.9040	0.2825	0.1158
41	0.1064	0.8996	0.2794	0.1151
42	0.1055	0.8952	0.2761	0.1144
43	0.1044	0.8908	0.2730	0.1138
44	0.1035	0.8861	0.2703	0.1131
45	0.1029	0.8816	0.2676	0.1123
46	0.1021	0.8770	0.2647	0.1113
47	0.1015	0.8721	0.2621	0.1107
48	0.1006	0.8672	0.2597	0.1101
49	0.0998	0.8621	0.2571	0.1095
50	0.0990	0.8573	0.2548	0.1088
