# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 30456 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1603	0.9998	0.8171	0.2310
2	0.0653	0.9995	0.7096	0.1026
3	0.0419	0.9992	0.6325	0.0671
4	0.0316	0.9988	0.5758	0.0493
5	0.0256	0.9979	0.5306	0.0385
6	0.0213	0.9970	0.4933	0.0322
7	0.0185	0.9962	0.4639	0.0275
8	0.0166	0.9954	0.4394	0.0242
9	0.0148	0.9942	0.4173	0.0216
10	0.0129	0.9925	0.3975	0.0199
11	0.0113	0.9907	0.3793	0.0180
12	0.0102	0.9888	0.3647	0.0167
13	0.0093	0.9867	0.3509	0.0153
14	0.0086	0.9846	0.3389	0.0141
15	0.0077	0.9823	0.3275	0.0131
16	0.0071	0.9801	0.3182	0.0123
17	0.0067	0.9779	0.3079	0.0114
18	0.0064	0.9755	0.2991	0.0102
19	0.0060	0.9730	0.2915	0.0098
20	0.0056	0.9704	0.2836	0.0092
21	0.0054	0.9680	0.2760	0.0089
22	0.0051	0.9648	0.2689	0.0082
23	0.0046	0.9616	0.2621	0.0077
24	0.0042	0.9585	0.2551	0.0074
25	0.0041	0.9549	0.2496	0.0071
26	0.0040	0.9514	0.2440	0.0069
27	0.0037	0.9481	0.2385	0.0067
28	0.0035	0.9442	0.2334	0.0064
29	0.0033	0.9408	0.2285	0.0060
30	0.0032	0.9368	0.2240	0.0058
31	0.0031	0.9327	0.2194	0.0056
32	0.0028	0.9287	0.2155	0.0053
33	0.0027	0.9243	0.2113	0.0051
34	0.0027	0.9198	0.2067	0.0049
35	0.0027	0.9153	0.2032	0.0048
36	0.0026	0.9106	0.1996	0.0047
37	0.0024	0.9062	0.1959	0.0046
38	0.0023	0.9007	0.1926	0.0045
39	0.0022	0.8958	0.1895	0.0044
40	0.0021	0.8904	0.1863	0.0043
41	0.0021	0.8856	0.1832	0.0041
42	0.0020	0.8805	0.1802	0.0040
43	0.0019	0.8755	0.1776	0.0038
44	0.0018	0.8702	0.1752	0.0038
45	0.0017	0.8651	0.1725	0.0037
46	0.0017	0.8599	0.1700	0.0035
47	0.0016	0.8543	0.1676	0.0034
48	0.0015	0.8488	0.1655	0.0034
49	0.0015	0.8431	0.1630	0.0033
50	0.0014	0.8376	0.1609	0.0033
