# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1375 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.8233	1.0000	0.9913	0.8393
2	0.7978	1.0000	0.9833	0.8058
3	0.7913	0.9993	0.9782	0.7964
4	0.7855	0.9993	0.9716	0.7935
5	0.7811	0.9993	0.9680	0.7927
6	0.7738	0.9993	0.9651	0.7898
7	0.7680	0.9993	0.9600	0.7891
8	0.7622	0.9993	0.9585	0.7891
9	0.7556	0.9993	0.9520	0.7876
10	0.7520	0.9985	0.9462	0.7862
11	0.7455	0.9978	0.9425	0.7840
12	0.7375	0.9971	0.9389	0.7818
13	0.7331	0.9964	0.9353	0.7789
14	0.7302	0.9942	0.9287	0.7767
15	0.7273	0.9942	0.9258	0.7738
16	0.7222	0.9942	0.9229	0.7709
17	0.7200	0.9942	0.9215	0.7673
18	0.7149	0.9935	0.9193	0.7636
19	0.7113	0.9920	0.9185	0.7585
20	0.7069	0.9905	0.9164	0.7549
21	0.7033	0.9891	0.9113	0.7520
22	0.6989	0.9884	0.9076	0.7462
23	0.6975	0.9869	0.9055	0.7433
24	0.6938	0.9869	0.9025	0.7367
25	0.6909	0.9855	0.9018	0.7360
26	0.6873	0.9840	0.8989	0.7331
27	0.6858	0.9818	0.8960	0.7309
28	0.6836	0.9818	0.8953	0.7273
29	0.6800	0.9804	0.8924	0.7229
30	0.6793	0.9804	0.8880	0.7207
31	0.6785	0.9782	0.8865	0.7178
32	0.6756	0.9760	0.8858	0.7156
33	0.6727	0.9745	0.8844	0.7113
34	0.6676	0.9731	0.8829	0.7055
35	0.6655	0.9709	0.8785	0.6996
36	0.6640	0.9709	0.8756	0.6960
37	0.6596	0.9687	0.8742	0.6916
38	0.6560	0.9651	0.8735	0.6873
39	0.6545	0.9629	0.8698	0.6851
40	0.6509	0.9600	0.8669	0.6815
41	0.6480	0.9578	0.8662	0.6793
42	0.6436	0.9556	0.8647	0.6764
43	0.6364	0.9549	0.8618	0.6756
44	0.6335	0.9549	0.8596	0.6720
45	0.6313	0.9520	0.8560	0.6691
46	0.6276	0.9505	0.8545	0.6662
47	0.6247	0.9491	0.8524	0.6611
48	0.6225	0.9484	0.8516	0.6604
49	0.6182	0.9469	0.8502	0.6589
50	0.6167	0.9462	0.8480	0.6560
