#SAMPLE	FRAC_1 nucleotide mutation	FRAC_2 nucleotide mutations	FRAC_3 nucleotide mutations
\#1 DNA	0.00060998	1.59E-05	6.0526E-06
\#2 DNA	0.00067806	2.2154E-05	8.8353E-06
\#3 DNA	0.00067194	1.6507E-05	6.1193E-06
\#1 repeat DNA	0.00064676	1.3724E-05	5.2443E-06
\#1 mutDNA	0.0028187	0.0025176	0.0023499
\#2 mutDNA	0.0028282	0.0031627	0.0029814
\#3 mutDNA	0.0026411	0.0024883	0.0023288
\#1 repeat mutDNA	0.0028534	0.0024642	0.0022642
\#1 virus	0.00091054	2.7415E-05	1.1786E-05
\#2 virus	0.0010025	3.4668E-05	1.3536E-05
\#3 virus	0.00096545	2.6826E-05	1.0155E-05
\#1 repeat virus	0.00095928	2.4608E-05	1.0055E-05
\#1 mutvirus	0.00153	0.00084206	0.0006963
\#2 mutvirus	0.0016917	0.0010522	0.00076306
\#3 mutvirus	0.0014822	0.00063295	0.00049891
\#1 repeat mutvirus	0.0015564	0.00077101	0.00062421
