# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 35532 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1913	0.9978	0.6768	0.2227
2	0.1494	0.9939	0.5543	0.1688
3	0.1363	0.9872	0.4829	0.1547
4	0.1290	0.9781	0.4364	0.1462
5	0.1239	0.9670	0.4011	0.1400
6	0.1200	0.9545	0.3739	0.1356
7	0.1164	0.9409	0.3525	0.1308
8	0.1139	0.9261	0.3338	0.1270
9	0.1110	0.9108	0.3176	0.1235
10	0.1080	0.8936	0.3041	0.1199
11	0.1055	0.8740	0.2929	0.1166
12	0.1030	0.8540	0.2826	0.1138
13	0.1003	0.8344	0.2732	0.1109
14	0.0974	0.8142	0.2653	0.1081
15	0.0946	0.7942	0.2573	0.1062
16	0.0923	0.7752	0.2495	0.1038
17	0.0900	0.7568	0.2429	0.1017
18	0.0879	0.7363	0.2372	0.0995
19	0.0857	0.7160	0.2315	0.0980
20	0.0836	0.6965	0.2259	0.0961
21	0.0816	0.6768	0.2209	0.0941
22	0.0793	0.6587	0.2166	0.0921
23	0.0773	0.6393	0.2121	0.0905
24	0.0755	0.6197	0.2065	0.0892
25	0.0737	0.6026	0.2029	0.0875
26	0.0718	0.5852	0.1989	0.0863
27	0.0702	0.5671	0.1952	0.0843
28	0.0683	0.5482	0.1917	0.0832
29	0.0661	0.5321	0.1882	0.0821
30	0.0644	0.5155	0.1854	0.0804
31	0.0629	0.4981	0.1819	0.0790
32	0.0611	0.4830	0.1790	0.0778
33	0.0592	0.4666	0.1759	0.0767
34	0.0574	0.4514	0.1736	0.0758
35	0.0556	0.4373	0.1703	0.0745
36	0.0536	0.4231	0.1676	0.0735
37	0.0523	0.4105	0.1652	0.0724
38	0.0508	0.3976	0.1630	0.0715
39	0.0491	0.3850	0.1603	0.0704
40	0.0475	0.3730	0.1580	0.0696
41	0.0459	0.3602	0.1560	0.0685
42	0.0444	0.3478	0.1537	0.0675
43	0.0429	0.3375	0.1521	0.0664
44	0.0414	0.3273	0.1498	0.0653
45	0.0401	0.3170	0.1475	0.0643
46	0.0388	0.3070	0.1450	0.0635
47	0.0373	0.2976	0.1429	0.0623
48	0.0360	0.2885	0.1411	0.0614
49	0.0349	0.2802	0.1392	0.0606
50	0.0335	0.2719	0.1370	0.0596
