# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 30456 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0614	0.9975	0.6232	0.0935
2	0.0189	0.9929	0.4808	0.0327
3	0.0106	0.9851	0.3989	0.0194
4	0.0071	0.9747	0.3458	0.0136
5	0.0052	0.9619	0.3068	0.0102
6	0.0040	0.9476	0.2772	0.0086
7	0.0031	0.9320	0.2540	0.0069
8	0.0026	0.9152	0.2346	0.0055
9	0.0021	0.8979	0.2177	0.0050
10	0.0018	0.8783	0.2043	0.0044
11	0.0016	0.8562	0.1928	0.0040
12	0.0014	0.8337	0.1824	0.0036
13	0.0012	0.8116	0.1733	0.0033
14	0.0011	0.7891	0.1656	0.0030
15	0.0011	0.7664	0.1584	0.0029
16	0.0009	0.7452	0.1510	0.0026
17	0.0008	0.7247	0.1451	0.0024
18	0.0008	0.7019	0.1401	0.0022
19	0.0007	0.6791	0.1347	0.0020
20	0.0006	0.6577	0.1294	0.0019
21	0.0005	0.6358	0.1253	0.0018
22	0.0005	0.6160	0.1217	0.0017
23	0.0005	0.5948	0.1178	0.0016
24	0.0005	0.5732	0.1134	0.0016
25	0.0004	0.5545	0.1107	0.0015
26	0.0004	0.5359	0.1078	0.0015
27	0.0004	0.5161	0.1049	0.0013
28	0.0004	0.4957	0.1021	0.0013
29	0.0004	0.4784	0.0994	0.0012
30	0.0004	0.4606	0.0975	0.0012
31	0.0004	0.4416	0.0946	0.0011
32	0.0004	0.4249	0.0926	0.0010
33	0.0004	0.4075	0.0901	0.0010
34	0.0004	0.3913	0.0885	0.0010
35	0.0004	0.3766	0.0861	0.0010
36	0.0004	0.3618	0.0842	0.0010
37	0.0004	0.3486	0.0825	0.0009
38	0.0004	0.3350	0.0810	0.0009
39	0.0004	0.3222	0.0791	0.0009
40	0.0004	0.3096	0.0777	0.0009
41	0.0004	0.2965	0.0764	0.0008
42	0.0004	0.2841	0.0750	0.0008
43	0.0004	0.2732	0.0739	0.0008
44	0.0004	0.2626	0.0723	0.0008
45	0.0004	0.2521	0.0708	0.0008
46	0.0004	0.2421	0.0690	0.0008
47	0.0004	0.2327	0.0677	0.0008
48	0.0004	0.2237	0.0666	0.0008
49	0.0004	0.2154	0.0653	0.0008
50	0.0004	0.2073	0.0637	0.0008
