# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 294 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0476	0.9966	0.7449	0.0680
2	0.0170	0.9932	0.6463	0.0238
3	0.0102	0.9830	0.5918	0.0170
4	0.0068	0.9762	0.5340	0.0170
5	0.0068	0.9524	0.5068	0.0136
6	0.0068	0.9252	0.4796	0.0136
7	0.0068	0.8946	0.4592	0.0136
8	0.0034	0.8707	0.4388	0.0102
9	0.0034	0.8537	0.4150	0.0102
10	0.0000	0.8333	0.4048	0.0102
11	0.0000	0.8061	0.3946	0.0068
12	0.0000	0.7857	0.3810	0.0068
13	0.0000	0.7619	0.3469	0.0068
14	0.0000	0.7381	0.3299	0.0068
15	0.0000	0.7143	0.3197	0.0068
16	0.0000	0.6871	0.3095	0.0068
17	0.0000	0.6497	0.2925	0.0034
18	0.0000	0.6224	0.2891	0.0034
19	0.0000	0.6054	0.2789	0.0034
20	0.0000	0.5612	0.2755	0.0034
21	0.0000	0.5408	0.2619	0.0000
22	0.0000	0.5306	0.2585	0.0000
23	0.0000	0.5068	0.2517	0.0000
24	0.0000	0.4762	0.2415	0.0000
25	0.0000	0.4524	0.2347	0.0000
26	0.0000	0.4354	0.2245	0.0000
27	0.0000	0.4218	0.2211	0.0000
28	0.0000	0.4014	0.2143	0.0000
29	0.0000	0.3844	0.2143	0.0000
30	0.0000	0.3673	0.2075	0.0000
31	0.0000	0.3469	0.2041	0.0000
32	0.0000	0.3163	0.2041	0.0000
33	0.0000	0.3061	0.2007	0.0000
34	0.0000	0.2959	0.2007	0.0000
35	0.0000	0.2891	0.1973	0.0000
36	0.0000	0.2653	0.1905	0.0000
37	0.0000	0.2483	0.1905	0.0000
38	0.0000	0.2313	0.1905	0.0000
39	0.0000	0.2177	0.1905	0.0000
40	0.0000	0.2075	0.1871	0.0000
41	0.0000	0.1939	0.1837	0.0000
42	0.0000	0.1871	0.1837	0.0000
43	0.0000	0.1837	0.1837	0.0000
44	0.0000	0.1735	0.1837	0.0000
45	0.0000	0.1701	0.1837	0.0000
46	0.0000	0.1599	0.1837	0.0000
47	0.0000	0.1531	0.1837	0.0000
48	0.0000	0.1531	0.1769	0.0000
49	0.0000	0.1463	0.1769	0.0000
50	0.0000	0.1361	0.1769	0.0000
