# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1375 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7862	0.9993	0.9455	0.7993
2	0.7658	0.9985	0.9236	0.7869
3	0.7455	0.9964	0.9113	0.7775
4	0.7273	0.9942	0.8989	0.7695
5	0.7105	0.9891	0.8887	0.7585
6	0.6989	0.9833	0.8815	0.7462
7	0.6851	0.9760	0.8735	0.7345
8	0.6749	0.9695	0.8655	0.7265
9	0.6633	0.9651	0.8575	0.7062
10	0.6502	0.9593	0.8509	0.6938
11	0.6415	0.9520	0.8465	0.6836
12	0.6313	0.9462	0.8378	0.6727
13	0.6196	0.9396	0.8262	0.6618
14	0.6065	0.9309	0.8189	0.6538
15	0.5964	0.9236	0.8138	0.6465
16	0.5862	0.9149	0.8051	0.6378
17	0.5775	0.9011	0.7993	0.6291
18	0.5687	0.8916	0.7942	0.6204
19	0.5607	0.8851	0.7884	0.6124
20	0.5498	0.8705	0.7862	0.6022
21	0.5396	0.8633	0.7796	0.5935
22	0.5258	0.8553	0.7753	0.5840
23	0.5156	0.8451	0.7687	0.5745
24	0.5062	0.8342	0.7622	0.5695
25	0.4916	0.8255	0.7556	0.5622
26	0.4851	0.8167	0.7484	0.5593
27	0.4756	0.8087	0.7447	0.5513
28	0.4618	0.7993	0.7396	0.5440
29	0.4509	0.7927	0.7389	0.5382
30	0.4422	0.7862	0.7316	0.5295
31	0.4313	0.7738	0.7302	0.5251
32	0.4204	0.7636	0.7251	0.5207
33	0.4167	0.7542	0.7178	0.5127
34	0.4051	0.7455	0.7156	0.5091
35	0.3949	0.7404	0.7127	0.5025
36	0.3825	0.7302	0.7069	0.4967
37	0.3695	0.7207	0.7011	0.4953
38	0.3578	0.7127	0.6982	0.4938
39	0.3513	0.7025	0.6945	0.4829
40	0.3447	0.6953	0.6909	0.4800
41	0.3316	0.6851	0.6844	0.4764
42	0.3200	0.6756	0.6800	0.4742
43	0.3113	0.6684	0.6756	0.4676
44	0.3047	0.6596	0.6727	0.4625
45	0.2982	0.6531	0.6684	0.4560
46	0.2865	0.6451	0.6647	0.4509
47	0.2793	0.6371	0.6618	0.4436
48	0.2691	0.6320	0.6582	0.4364
49	0.2633	0.6269	0.6545	0.4298
50	0.2582	0.6153	0.6516	0.4240
