# nread -> total number of read pairs read from the FASTQ files.
nread 30201856
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 445691
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 660647
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 9562
# nattempted -> number of read pairs we attempted to align
nattempted 29095518
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 28160860
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 28140434
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 28134457
