# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 30456 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0995	0.9992	0.5599	0.1579
2	0.0377	0.9977	0.4330	0.0636
3	0.0247	0.9956	0.3643	0.0406
4	0.0179	0.9925	0.3202	0.0295
5	0.0142	0.9887	0.2861	0.0231
6	0.0114	0.9845	0.2614	0.0187
7	0.0094	0.9790	0.2411	0.0158
8	0.0077	0.9733	0.2252	0.0140
9	0.0064	0.9666	0.2104	0.0119
10	0.0054	0.9595	0.1980	0.0104
11	0.0050	0.9524	0.1878	0.0093
12	0.0046	0.9444	0.1794	0.0082
13	0.0040	0.9359	0.1714	0.0076
14	0.0036	0.9265	0.1639	0.0069
15	0.0031	0.9165	0.1575	0.0065
16	0.0029	0.9055	0.1515	0.0060
17	0.0027	0.8944	0.1460	0.0055
18	0.0025	0.8837	0.1409	0.0053
19	0.0022	0.8727	0.1357	0.0050
20	0.0021	0.8625	0.1311	0.0047
21	0.0019	0.8512	0.1274	0.0044
22	0.0017	0.8400	0.1240	0.0042
23	0.0016	0.8280	0.1205	0.0040
24	0.0015	0.8164	0.1170	0.0039
25	0.0014	0.8043	0.1134	0.0038
26	0.0013	0.7926	0.1107	0.0036
27	0.0012	0.7803	0.1080	0.0035
28	0.0011	0.7686	0.1056	0.0033
29	0.0011	0.7560	0.1033	0.0032
30	0.0011	0.7447	0.1010	0.0031
31	0.0010	0.7331	0.0989	0.0029
32	0.0010	0.7215	0.0969	0.0027
33	0.0009	0.7105	0.0947	0.0027
34	0.0009	0.6989	0.0925	0.0026
35	0.0009	0.6870	0.0908	0.0025
36	0.0008	0.6755	0.0892	0.0023
37	0.0007	0.6631	0.0874	0.0022
38	0.0007	0.6525	0.0857	0.0022
39	0.0007	0.6413	0.0838	0.0022
40	0.0007	0.6305	0.0822	0.0021
41	0.0007	0.6197	0.0809	0.0020
42	0.0007	0.6082	0.0797	0.0018
43	0.0007	0.5966	0.0778	0.0018
44	0.0006	0.5847	0.0765	0.0017
45	0.0006	0.5732	0.0752	0.0017
46	0.0006	0.5624	0.0738	0.0017
47	0.0006	0.5522	0.0728	0.0016
48	0.0006	0.5422	0.0715	0.0016
49	0.0006	0.5320	0.0706	0.0015
50	0.0005	0.5220	0.0695	0.0015
