# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 294 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1088	1.0000	0.7857	0.1599
2	0.0272	0.9932	0.7177	0.0510
3	0.0170	0.9932	0.6633	0.0238
4	0.0170	0.9898	0.6224	0.0170
5	0.0102	0.9864	0.5646	0.0170
6	0.0102	0.9694	0.5306	0.0170
7	0.0102	0.9660	0.5204	0.0170
8	0.0102	0.9660	0.5000	0.0136
9	0.0102	0.9422	0.4796	0.0136
10	0.0102	0.9388	0.4456	0.0136
11	0.0102	0.9286	0.4354	0.0136
12	0.0102	0.9252	0.4150	0.0136
13	0.0102	0.9184	0.4014	0.0136
14	0.0102	0.9014	0.3946	0.0068
15	0.0102	0.8741	0.3776	0.0068
16	0.0102	0.8503	0.3639	0.0068
17	0.0102	0.8401	0.3503	0.0068
18	0.0102	0.8333	0.3435	0.0068
19	0.0102	0.8231	0.3401	0.0068
20	0.0102	0.8197	0.3367	0.0068
21	0.0102	0.7959	0.3265	0.0034
22	0.0102	0.7823	0.3265	0.0034
23	0.0034	0.7619	0.3231	0.0034
24	0.0034	0.7415	0.3095	0.0034
25	0.0034	0.7313	0.3095	0.0034
26	0.0034	0.7075	0.2993	0.0034
27	0.0034	0.6871	0.2925	0.0034
28	0.0034	0.6769	0.2925	0.0034
29	0.0034	0.6701	0.2925	0.0034
30	0.0034	0.6633	0.2891	0.0034
31	0.0034	0.6463	0.2891	0.0034
32	0.0034	0.6293	0.2857	0.0034
33	0.0034	0.6293	0.2823	0.0034
34	0.0034	0.6054	0.2823	0.0034
35	0.0034	0.5952	0.2755	0.0034
36	0.0034	0.5918	0.2755	0.0034
37	0.0034	0.5748	0.2721	0.0034
38	0.0000	0.5544	0.2721	0.0034
39	0.0000	0.5238	0.2721	0.0034
40	0.0000	0.5238	0.2619	0.0034
41	0.0000	0.5068	0.2517	0.0034
42	0.0000	0.5000	0.2381	0.0000
43	0.0000	0.4796	0.2279	0.0000
44	0.0000	0.4626	0.2245	0.0000
45	0.0000	0.4490	0.2211	0.0000
46	0.0000	0.4388	0.2211	0.0000
47	0.0000	0.4184	0.2177	0.0000
48	0.0000	0.4116	0.2177	0.0000
49	0.0000	0.3980	0.2177	0.0000
50	0.0000	0.3844	0.2177	0.0000
