# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 35532 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.2027	0.9987	0.6069	0.2223
2	0.1569	0.9964	0.4943	0.1696
3	0.1426	0.9924	0.4274	0.1556
4	0.1343	0.9870	0.3830	0.1474
5	0.1287	0.9806	0.3524	0.1414
6	0.1250	0.9735	0.3283	0.1356
7	0.1216	0.9651	0.3088	0.1306
8	0.1188	0.9557	0.2929	0.1268
9	0.1160	0.9449	0.2785	0.1239
10	0.1138	0.9330	0.2664	0.1209
11	0.1118	0.9206	0.2553	0.1178
12	0.1098	0.9081	0.2469	0.1151
13	0.1080	0.8945	0.2391	0.1118
14	0.1057	0.8794	0.2312	0.1093
15	0.1035	0.8646	0.2233	0.1072
16	0.1012	0.8480	0.2165	0.1051
17	0.0992	0.8325	0.2094	0.1031
18	0.0971	0.8163	0.2036	0.1008
19	0.0946	0.7989	0.1990	0.0987
20	0.0925	0.7832	0.1939	0.0965
21	0.0906	0.7663	0.1888	0.0945
22	0.0889	0.7514	0.1841	0.0927
23	0.0871	0.7347	0.1801	0.0910
24	0.0854	0.7186	0.1758	0.0890
25	0.0839	0.7024	0.1718	0.0876
26	0.0820	0.6852	0.1679	0.0862
27	0.0799	0.6695	0.1643	0.0850
28	0.0783	0.6526	0.1610	0.0839
29	0.0768	0.6367	0.1583	0.0826
30	0.0749	0.6205	0.1552	0.0811
31	0.0730	0.6047	0.1523	0.0797
32	0.0711	0.5884	0.1496	0.0786
33	0.0697	0.5737	0.1469	0.0775
34	0.0679	0.5594	0.1438	0.0766
35	0.0663	0.5447	0.1412	0.0756
36	0.0650	0.5293	0.1389	0.0746
37	0.0634	0.5145	0.1365	0.0736
38	0.0616	0.5008	0.1336	0.0726
39	0.0601	0.4883	0.1315	0.0716
40	0.0586	0.4748	0.1294	0.0705
41	0.0572	0.4617	0.1277	0.0693
42	0.0560	0.4491	0.1259	0.0679
43	0.0543	0.4375	0.1242	0.0668
44	0.0532	0.4254	0.1221	0.0658
45	0.0515	0.4143	0.1201	0.0648
46	0.0503	0.4032	0.1185	0.0637
47	0.0496	0.3928	0.1167	0.0629
48	0.0482	0.3814	0.1149	0.0618
49	0.0469	0.3705	0.1132	0.0610
50	0.0455	0.3605	0.1115	0.0600
