# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1375 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7971	1.0000	0.9484	0.8036
2	0.7753	0.9985	0.9324	0.7884
3	0.7622	0.9978	0.9164	0.7833
4	0.7418	0.9971	0.9040	0.7782
5	0.7302	0.9949	0.8916	0.7636
6	0.7164	0.9905	0.8851	0.7520
7	0.7025	0.9884	0.8749	0.7396
8	0.6931	0.9847	0.8662	0.7273
9	0.6844	0.9796	0.8567	0.7156
10	0.6764	0.9745	0.8480	0.7055
11	0.6684	0.9702	0.8356	0.6916
12	0.6611	0.9680	0.8327	0.6778
13	0.6531	0.9629	0.8269	0.6655
14	0.6429	0.9585	0.8233	0.6560
15	0.6313	0.9498	0.8145	0.6495
16	0.6247	0.9447	0.8080	0.6429
17	0.6160	0.9360	0.8015	0.6378
18	0.6073	0.9244	0.7920	0.6320
19	0.5978	0.9185	0.7862	0.6204
20	0.5884	0.9135	0.7818	0.6116
21	0.5811	0.9076	0.7724	0.6022
22	0.5738	0.9011	0.7644	0.5964
23	0.5658	0.8953	0.7578	0.5927
24	0.5578	0.8880	0.7520	0.5833
25	0.5484	0.8815	0.7469	0.5775
26	0.5396	0.8735	0.7404	0.5695
27	0.5295	0.8662	0.7382	0.5665
28	0.5244	0.8596	0.7331	0.5615
29	0.5207	0.8487	0.7258	0.5527
30	0.5105	0.8349	0.7207	0.5476
31	0.5055	0.8262	0.7142	0.5425
32	0.4945	0.8240	0.7076	0.5375
33	0.4902	0.8116	0.7011	0.5287
34	0.4800	0.8000	0.6931	0.5251
35	0.4705	0.7927	0.6895	0.5215
36	0.4589	0.7869	0.6836	0.5156
37	0.4465	0.7782	0.6764	0.5105
38	0.4371	0.7695	0.6698	0.5069
39	0.4269	0.7651	0.6669	0.5018
40	0.4131	0.7607	0.6604	0.4967
41	0.4080	0.7556	0.6575	0.4865
42	0.3993	0.7505	0.6545	0.4749
43	0.3920	0.7447	0.6509	0.4676
44	0.3862	0.7345	0.6429	0.4640
45	0.3745	0.7302	0.6378	0.4589
46	0.3665	0.7265	0.6349	0.4516
47	0.3644	0.7164	0.6320	0.4487
48	0.3564	0.7098	0.6269	0.4436
49	0.3476	0.7004	0.6196	0.4415
50	0.3382	0.6938	0.6153	0.4349
