# nread -> total number of read pairs read from the FASTQ files.
nread 29116266
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 398735
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 502096
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 20390
# nattempted -> number of read pairs we attempted to align
nattempted 28215435
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 20392042
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 20342612
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20337365
